Year,Player,Pos,School,Height,Weight,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,routes,targets,receptions
2017,Rodney Adams,WR,South Florida,73.0,189.0,4.44,29.5,125.0,8.0,6.98,4.28,True,5.0,170.0,6.02,32.0,13.0,2.56,11.9,71.4,7.0,101.2,,4.1,9.8,23.0,81.2,18.8,0.0,96.7,324.0,98.0,70.0
2017,Quincy Adeboyejo,WR,Mississippi,75.0,197.0,4.42,34.5,123.0,8.0,6.73,4.14,False,,,8.91,31.75,12.0,1.14,13.0,49.3,12.9,57.0,,12.5,3.3,2.0,6.7,93.3,0.0,95.7,401.0,71.0,35.0
2017,Kendrick Bourne,WR,East. Washington,73.0,203.0,4.68,34.0,125.0,9.0,6.73,4.21,False,,,,32.5,,,,,,,,,,,,,,,,,
2017,Noah Brown,WR,Ohio State,74.0,222.0,,,,19.0,7.07,4.33,True,7.0,239.0,6.88,31.75,13.0,1.66,12.6,65.3,12.6,130.3,,8.6,3.1,8.0,13.2,86.4,0.4,93.8,242.0,49.0,32.0
2017,K.D. Cannon,WR,Baylor,71.0,182.0,4.41,37.0,119.0,13.0,,,False,,,,30.75,12.0,2.72,14.0,62.6,13.4,103.9,,7.4,5.3,12.0,15.3,84.7,0.0,94.9,448.0,139.0,87.0
2017,Jehu Chesson,WR,Michigan,75.0,204.0,4.47,35.5,132.0,10.0,6.7,4.09,True,4.0,139.0,7.94,33.25,13.0,1.77,14.3,56.5,13.9,73.3,,5.4,3.2,1.0,25.8,72.2,1.4,97.3,283.0,62.0,35.0
2017,Stacy Coley,WR,Miami (FL),73.0,195.0,4.45,34.0,122.0,10.0,,,True,7.0,219.0,4.46,32.25,13.0,1.96,12.0,62.4,12.5,102.5,,7.4,5.2,9.0,44.5,55.5,0.0,96.0,384.0,101.0,63.0
2017,Amara Darboh,WR,Michigan,74.0,214.0,4.45,36.0,124.0,17.0,,,True,3.0,106.0,9.6,32.62,13.0,2.45,15.1,56.4,14.9,103.7,,9.5,5.5,7.0,9.1,90.9,0.0,97.0,352.0,101.0,57.0
2017,Corey Davis,WR,West. Michigan,75.0,209.0,,,,,,,True,1.0,5.0,,33.0,14.0,3.57,15.4,72.1,11.2,141.9,,10.1,7.2,16.0,28.3,71.7,0.0,95.9,424.0,136.0,98.0
2017,Robert Davis,WR,Georgia State,75.0,219.0,4.44,41.0,136.0,19.0,6.82,4.28,True,6.0,209.0,9.79,33.0,12.0,2.39,14.4,54.9,13.0,87.7,,4.3,6.0,10.0,11.5,88.5,0.0,96.7,405.0,122.0,67.0
2017,Malachi Dupre,WR,LSU,74.0,196.0,4.52,39.5,135.0,11.0,7.19,4.26,True,7.0,247.0,7.2,31.5,12.0,2.56,14.5,63.1,14.2,88.8,,6.8,4.0,3.0,67.5,31.3,1.2,95.5,232.0,65.0,41.0
2017,Travin Dural,WR,LSU,73.0,202.0,4.57,30.5,116.0,,7.29,4.55,False,,,1.57,32.12,11.0,1.18,10.0,54.9,14.3,77.2,,0.0,2.7,6.0,12.3,86.9,0.0,97.1,237.0,51.0,28.0
2017,Amba Etta-Tawo,WR,Syracuse,73.0,208.0,4.49,31.0,126.0,14.0,6.95,4.32,False,,,6.77,32.0,12.0,2.49,15.7,65.7,12.6,115.1,,6.0,6.9,12.0,17.1,82.9,0.0,95.2,594.0,143.0,94.0
2017,Isaiah Ford,WR,Virginia Tech,73.0,194.0,4.61,35.5,127.0,14.0,6.94,4.34,True,7.0,237.0,5.05,32.62,14.0,2.25,13.8,57.7,13.7,97.4,,8.1,4.1,6.0,1.8,98.2,0.0,96.0,486.0,137.0,79.0
2017,Shelton Gibson,WR,West Virginia,71.0,191.0,4.5,32.0,118.0,8.0,6.83,4.2,True,5.0,166.0,3.98,32.0,13.0,2.58,22.1,59.7,19.2,135.2,,8.5,4.8,10.0,7.2,92.8,0.0,94.6,369.0,72.0,43.0
