Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,is_center,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2022,Marquis Hayes,OG,Oklahoma,6-5,318.0,5.3,23.5,,102.0,,,True,7.0,257.0,6.34,34.88,0,0.03937007874015748,0.015748031496062992,127.0,356.0,76.8,0.435,0.49200000000000005,0.014492753623188406
2022,Chasen Hines,C,LSU,6-3,327.0,5.22,30.5,,108.0,,,True,6.0,210.0,6.53,,1,0.054945054945054944,0.02197802197802198,91.0,164.0,70.6,0.396,0.537,0.00392156862745098
2022,Ed Ingram,OG,LSU,6-3,307.0,5.02,20.5,,102.0,7.81,4.76,True,2.0,59.0,7.35,33.62,0,0.04938271604938271,0.006172839506172839,162.0,322.0,68.6,0.435,0.5,0.002066115702479339
2022,Zion Johnson,OG,Boston Col.,6-3,312.0,5.18,32.0,32.0,112.0,7.38,4.46,True,1.0,17.0,9.73,34.0,0,0.02586206896551724,0.008620689655172414,116.0,413.0,84.4,0.32899999999999996,0.596,0.001890359168241966
2022,Cameron Jurgens,C,Nebraska,6-3,303.0,4.92,,25.0,,,,True,2.0,51.0,9.66,,1,0.02702702702702703,0.0,148.0,378.0,71.5,0.46799999999999997,0.484,0.009505703422053232
2022,Darian Kinnard,OG,Kentucky,6-5,322.0,5.31,25.0,,99.0,8.11,4.96,True,5.0,145.0,5.24,35.0,0,0.0364963503649635,0.0072992700729927005,137.0,411.0,91.8,0.341,0.535,0.0018248175182481751
2022,Tyler Linderbaum,C,Iowa,6-2,296.0,,,,,,,True,1.0,25.0,8.82,,1,0.011363636363636364,0.0,176.0,451.0,96.6,0.08,0.747,0.0
2022,Alec Lindstrom,C,Boston Col.,6-3,296.0,5.18,29.0,25.0,111.0,7.5,4.66,False,,,8.37,,1,0.017241379310344827,0.008620689655172414,116.0,419.0,68.4,0.325,0.601,0.003738317757009346
2022,Cade Mays,OG,Tennessee,6-5,311.0,5.24,26.0,,102.0,7.57,4.71,True,6.0,199.0,7.5,34.12,0,0.022222222222222223,0.0,45.0,221.0,73.3,0.43,0.475,0.0037593984962406013
2022,Marcus McKethan,OG,North Carolina,6-7,340.0,5.31,27.5,27.0,110.0,7.81,4.99,True,5.0,173.0,7.86,35.5,0,0.05714285714285714,0.014285714285714285,140.0,370.0,71.8,0.34299999999999997,0.47600000000000003,0.00980392156862745
2022,Dylan Parham,OG,Memphis,6-3,311.0,4.93,26.5,,108.0,7.78,4.7,True,3.0,90.0,8.78,33.12,0,0.046052631578947366,0.0,152.0,336.0,79.2,0.354,0.568,0.004098360655737705
